Training LSTM:
Epoch 1/100, Loss: 11.1140, Accuracy: 50.20%
Epoch 2/100, Loss: 10.9809, Accuracy: 53.15%
Epoch 3/100, Loss: 10.8555, Accuracy: 63.39%
Epoch 4/100, Loss: 10.6940, Accuracy: 66.54%
Epoch 5/100, Loss: 10.5034, Accuracy: 66.34%
Epoch 6/100, Loss: 10.2497, Accuracy: 68.11%
Epoch 7/100, Loss: 9.9666, Accuracy: 68.11%
Epoch 8/100, Loss: 9.6059, Accuracy: 69.49%
Epoch 9/100, Loss: 9.2318, Accuracy: 72.24%
Epoch 10/100, Loss: 8.9333, Accuracy: 72.44%
Epoch 11/100, Loss: 8.6569, Accuracy: 73.03%
Epoch 12/100, Loss: 8.3977, Accuracy: 75.39%
Epoch 13/100, Loss: 8.1379, Accuracy: 74.41%
Epoch 14/100, Loss: 7.9642, Accuracy: 76.77%
Epoch 15/100, Loss: 7.8734, Accuracy: 75.98%
Epoch 16/100, Loss: 7.6702, Accuracy: 77.17%
Epoch 17/100, Loss: 7.7514, Accuracy: 75.39%
Epoch 18/100, Loss: 7.5850, Accuracy: 77.17%
Epoch 19/100, Loss: 7.5617, Accuracy: 75.98%
Epoch 20/100, Loss: 7.4226, Accuracy: 78.15%
Epoch 21/100, Loss: 7.5075, Accuracy: 76.97%
Epoch 22/100, Loss: 7.5048, Accuracy: 77.36%
Epoch 23/100, Loss: 7.4046, Accuracy: 77.95%
Epoch 24/100, Loss: 7.3398, Accuracy: 77.95%
Epoch 25/100, Loss: 7.4832, Accuracy: 77.36%
Epoch 26/100, Loss: 7.4850, Accuracy: 75.98%
Epoch 27/100, Loss: 7.4213, Accuracy: 77.95%
Epoch 28/100, Loss: 7.2977, Accuracy: 76.77%
Epoch 29/100, Loss: 7.5858, Accuracy: 76.97%
Epoch 30/100, Loss: 7.3459, Accuracy: 77.56%
Epoch 31/100, Loss: 7.2325, Accuracy: 78.35%
Epoch 32/100, Loss: 7.2707, Accuracy: 78.54%
